product_id,product_name,category,unit_cost,unit_price
PRD-00001,Essential Laptop Ele-001,Electronics,180.65,424.98
PRD-00002,Ultra Monitor Ele-002,Electronics,48.02,56.68
PRD-00003,Classic Tablet Ele-003,Electronics,263.37,281.59
PRD-00004,Elite Headphones Ele-004,Electronics,55.63,53.55
PRD-00005,Deluxe Camera Ele-005,Electronics,370.78,562.75
PRD-00006,Essential Speaker Ele-006,Electronics,27.4,47.91
PRD-00007,Smart Router Ele-007,Electronics,532.99,1052.26
PRD-00008,Compact Keyboard Ele-008,Electronics,79.18,83.92
PRD-00009,Lite Laptop Ele-009,Electronics,120.04,156.95
PRD-00010,Compact Monitor Ele-010,Electronics,354.99,812.91
PRD-00011,Compact Tablet Ele-011,Electronics,907.01,1151.13
PRD-00012,Smart Headphones Ele-012,Electronics,42.27,49.98
PRD-00013,Essential Camera Ele-013,Electronics,469.69,608.98
PRD-00014,Classic Speaker Ele-014,Electronics,53.72,66.93
PRD-00015,Pro Router Ele-015,Electronics,147.76,156.56
PRD-00016,Eco Keyboard Ele-016,Electronics,1157.53,1251.56
PRD-00017,Elite Laptop Ele-017,Electronics,774.19,940.59
PRD-00018,Deluxe Monitor Ele-018,Electronics,277.53,507.64
PRD-00019,Standard Tablet Ele-019,Electronics,154.98,152.39
PRD-00020,Lite Headphones Ele-020,Electronics,1301.71,1726.82
PRD-00021,Plus Camera Ele-021,Electronics,1054.56,1052.4
PRD-00022,Smart Speaker Ele-022,Electronics,1111.96,1350.16
PRD-00023,Eco Router Ele-023,Electronics,1548.91,1883.13
PRD-00024,Plus Keyboard Ele-024,Electronics,1885.04,1969.06
PRD-00025,Lite Laptop Ele-025,Electronics,268.42,364.94
PRD-00026,Classic Monitor Ele-026,Electronics,392.81,425.38
PRD-00027,Ultra Tablet Ele-027,Electronics,177.9,191.03
PRD-00028,Smart Headphones Ele-028,Electronics,153.43,150.17
PRD-00029,Compact Camera Ele-029,Electronics,115.06,163.43
PRD-00030,Elite Speaker Ele-030,Electronics,1075.6,2356.45
PRD-00031,Standard Router Ele-031,Electronics,37.66,51.43
PRD-00032,Ultra Keyboard Ele-032,Electronics,116.6,227.94
PRD-00033,Premium Laptop Ele-033,Electronics,2284.92,2467.41
PRD-00034,Pro Monitor Ele-034,Electronics,442.5,531.91
PRD-00035,Eco Tablet Ele-035,Electronics,894.19,931.36
PRD-00036,Essential Headphones Ele-036,Electronics,406.81,437.46
PRD-00037,Pro Camera Ele-037,Electronics,1691.88,1816.5
PRD-00038,Elite Speaker Ele-038,Electronics,195.82,279.36
PRD-00039,Elite Router Ele-039,Electronics,38.45,70.44
PRD-00040,Pro Keyboard Ele-040,Electronics,24.35,36.17
PRD-00041,Smart Laptop Ele-041,Electronics,1735.43,2288.61
PRD-00042,Compact Monitor Ele-042,Electronics,83.52,113.72
PRD-00043,Plus Tablet Ele-043,Electronics,218.54,284.12
PRD-00044,Elite Headphones Ele-044,Electronics,95.11,199.05
PRD-00045,Premium Camera Ele-045,Electronics,217.14,404.66
PRD-00046,Elite Speaker Ele-046,Electronics,342.43,366.27
PRD-00047,Smart Router Ele-047,Electronics,259.89,340.3
PRD-00048,Classic Keyboard Ele-048,Electronics,1321.09,1763.16
PRD-00049,Max Laptop Ele-049,Electronics,220.61,266.81
PRD-00050,Classic Monitor Ele-050,Electronics,50.74,64.46
PRD-00051,Premium Tablet Ele-051,Electronics,127.5,155.62
PRD-00052,Elite Headphones Ele-052,Electronics,718.76,912.35
PRD-00053,Plus Camera Ele-053,Electronics,25.42,31.45
PRD-00054,Max Speaker Ele-054,Electronics,325.49,350.73
PRD-00055,Plus Router Ele-055,Electronics,19.18,42.73
PRD-00056,Compact Keyboard Ele-056,Electronics,29.36,36.54
PRD-00057,Max Desk Fur-057,Furniture,86.94,108.5
PRD-00058,Lite Chair Fur-058,Furniture,52.0,98.74
PRD-00059,Deluxe Cabinet Fur-059,Furniture,881.4,1296.94
PRD-00060,Standard Bookshelf Fur-060,Furniture,460.18,487.77
PRD-00061,Premium Table Fur-061,Furniture,119.06,152.21
PRD-00062,Standard Sofa Fur-062,Furniture,678.73,699.99
PRD-00063,Premium Wardrobe Fur-063,Furniture,571.73,757.76
PRD-00064,Smart Stool Fur-064,Furniture,1531.27,1851.2
PRD-00065,Deluxe Desk Fur-065,Furniture,1756.21,2689.1
PRD-00066,Pro Chair Fur-066,Furniture,64.45,92.79
PRD-00067,Elite Cabinet Fur-067,Furniture,156.89,355.54
PRD-00068,Ultra Bookshelf Fur-068,Furniture,70.92,91.46
PRD-00069,Lite Table Fur-069,Furniture,1224.3,1321.1
PRD-00070,Elite Sofa Fur-070,Furniture,1523.2,1793.9
PRD-00071,Smart Wardrobe Fur-071,Furniture,1470.81,2055.13
PRD-00072,Max Stool Fur-072,Furniture,645.71,679.59
PRD-00073,Premium Desk Fur-073,Furniture,258.02,276.22
PRD-00074,Classic Chair Fur-074,Furniture,617.03,642.59
PRD-00075,Elite Cabinet Fur-075,Furniture,466.63,484.42
PRD-00076,Premium Bookshelf Fur-076,Furniture,623.3,797.73
PRD-00077,Ultra Table Fur-077,Furniture,150.45,224.35
PRD-00078,Plus Sofa Fur-078,Furniture,319.43,680.64
PRD-00079,Deluxe Wardrobe Fur-079,Furniture,1509.19,1902.3
PRD-00080,Max Stool Fur-080,Furniture,2104.43,2942.93
PRD-00081,Ultra Desk Fur-081,Furniture,355.7,613.68
PRD-00082,Elite Chair Fur-082,Furniture,2501.85,2592.99
PRD-00083,Pro Cabinet Fur-083,Furniture,408.93,519.28
PRD-00084,Max Bookshelf Fur-084,Furniture,91.41,169.4
PRD-00085,Eco Table Fur-085,Furniture,1550.21,1824.31
PRD-00086,Classic Sofa Fur-086,Furniture,1346.25,1687.18
PRD-00087,Deluxe Wardrobe Fur-087,Furniture,143.41,182.95
PRD-00088,Essential Stool Fur-088,Furniture,98.54,94.97
PRD-00089,Essential Desk Fur-089,Furniture,56.85,119.45
PRD-00090,Ultra Chair Fur-090,Furniture,1280.42,1763.24
PRD-00091,Pro Cabinet Fur-091,Furniture,2117.25,2235.09
PRD-00092,Essential Bookshelf Fur-092,Furniture,1443.1,1448.99
PRD-00093,Premium Table Fur-093,Furniture,69.58,89.12
PRD-00094,Premium Sofa Fur-094,Furniture,169.68,252.5
PRD-00095,Deluxe Wardrobe Fur-095,Furniture,112.06,149.71
PRD-00096,Smart Stool Fur-096,Furniture,53.29,126.71
