order_id,customer_id,order_date,region_id
ORD-00000001,CUS-007125,2023-01-01,REG-001
ORD-00000002,CUS-000612,2023-01-01,REG-001
ORD-00000003,CUS-002193,2023-01-01,REG-001
ORD-00000004,CUS-005059,2023-01-01,REG-001
ORD-00000005,CUS-007365,2023-01-01,REG-001
ORD-00000006,CUS-000738,2023-01-01,REG-001
ORD-00000007,CUS-005148,2023-01-01,REG-001
ORD-00000008,CUS-006377,2023-01-01,REG-001
ORD-00000009,CUS-001145,2023-01-01,REG-002
ORD-00000010,CUS-000820,2023-01-01,REG-002
ORD-00000011,CUS-004696,2023-01-01,REG-002
ORD-00000012,CUS-001336,2023-01-01,REG-002
ORD-00000013,CUS-001437,2023-01-01,REG-002
ORD-00000014,CUS-001749,2023-01-01,REG-002
ORD-00000015,CUS-002955,2023-01-01,REG-002
ORD-00000016,CUS-007768,2023-01-01,REG-002
ORD-00000017,CUS-002007,2023-01-01,REG-003
ORD-00000018,CUS-002659,2023-01-01,REG-003
ORD-00000019,CUS-007481,2023-01-01,REG-003
ORD-00000020,CUS-002812,2023-01-01,REG-003
ORD-00000021,CUS-002306,2023-01-01,REG-003
ORD-00000022,CUS-002576,2023-01-01,REG-004
ORD-00000023,CUS-007078,2023-01-01,REG-004
ORD-00000024,CUS-003239,2023-01-01,REG-004
ORD-00000025,CUS-006669,2023-01-01,REG-004
ORD-00000026,CUS-001043,2023-01-01,REG-004
ORD-00000027,CUS-005313,2023-01-01,REG-004
ORD-00000028,CUS-002032,2023-01-01,REG-005
ORD-00000029,CUS-001936,2023-01-01,REG-005
ORD-00000030,CUS-000129,2023-01-01,REG-005
ORD-00000031,CUS-007271,2023-01-01,REG-005
ORD-00000032,CUS-007103,2023-01-01,REG-005
ORD-00000033,CUS-003734,2023-01-01,REG-005
ORD-00000034,CUS-001205,2023-01-01,REG-005
ORD-00000035,CUS-002500,2023-01-01,REG-006
ORD-00000036,CUS-001977,2023-01-01,REG-006
ORD-00000037,CUS-005933,2023-01-01,REG-006
ORD-00000038,CUS-004311,2023-01-01,REG-006
ORD-00000039,CUS-007525,2023-01-01,REG-006
ORD-00000040,CUS-006847,2023-01-01,REG-007
ORD-00000041,CUS-002592,2023-01-01,REG-007
ORD-00000042,CUS-004187,2023-01-01,REG-007
ORD-00000043,CUS-003288,2023-01-01,REG-008
ORD-00000044,CUS-003355,2023-01-01,REG-008
ORD-00000045,CUS-004696,2023-01-01,REG-008
ORD-00000046,CUS-006302,2023-01-01,REG-008
ORD-00000047,CUS-007078,2023-01-01,REG-008
ORD-00000048,CUS-003830,2023-01-01,REG-009
ORD-00000049,CUS-002195,2023-01-01,REG-009
ORD-00000050,CUS-007239,2023-01-01,REG-009
ORD-00000051,CUS-005640,2023-01-01,REG-009
ORD-00000052,CUS-006263,2023-01-01,REG-010
ORD-00000053,CUS-007078,2023-01-01,REG-010
ORD-00000054,CUS-006038,2023-01-01,REG-010
ORD-00000055,CUS-001562,2023-01-01,REG-010
ORD-00000056,CUS-007078,2023-01-02,REG-001
ORD-00000057,CUS-000789,2023-01-02,REG-001
ORD-00000058,CUS-000040,2023-01-02,REG-001
ORD-00000059,CUS-001558,2023-01-02,REG-001
ORD-00000060,CUS-007366,2023-01-02,REG-001
ORD-00000061,CUS-007078,2023-01-02,REG-001
ORD-00000062,CUS-004417,2023-01-02,REG-002
ORD-00000063,CUS-004741,2023-01-02,REG-002
ORD-00000064,CUS-005705,2023-01-02,REG-002
ORD-00000065,CUS-003296,2023-01-02,REG-002
ORD-00000066,CUS-002547,2023-01-02,REG-002
ORD-00000067,CUS-002941,2023-01-02,REG-002
ORD-00000068,CUS-003404,2023-01-02,REG-002
ORD-00000069,CUS-001571,2023-01-02,REG-002
ORD-00000070,CUS-002165,2023-01-02,REG-002
ORD-00000071,CUS-005526,2023-01-02,REG-002
ORD-00000072,CUS-007326,2023-01-02,REG-002
ORD-00000073,CUS-000376,2023-01-02,REG-003
ORD-00000074,CUS-004539,2023-01-02,REG-003
ORD-00000075,CUS-004819,2023-01-02,REG-003
ORD-00000076,CUS-002692,2023-01-02,REG-003
ORD-00000077,CUS-004755,2023-01-02,REG-003
ORD-00000078,CUS-001273,2023-01-02,REG-004
ORD-00000079,CUS-004607,2023-01-02,REG-004
ORD-00000080,CUS-006420,2023-01-02,REG-004
ORD-00000081,CUS-005336,2023-01-02,REG-004
ORD-00000082,CUS-004041,2023-01-02,REG-004
ORD-00000083,CUS-003379,2023-01-02,REG-004
ORD-00000084,CUS-007360,2023-01-02,REG-004
ORD-00000085,CUS-004090,2023-01-02,REG-005
ORD-00000086,CUS-006060,2023-01-02,REG-005
ORD-00000087,CUS-001749,2023-01-02,REG-005
ORD-00000088,CUS-005893,2023-01-02,REG-005
ORD-00000089,CUS-002563,2023-01-02,REG-005
ORD-00000090,CUS-005299,2023-01-02,REG-005
ORD-00000091,CUS-000852,2023-01-02,REG-005
ORD-00000092,CUS-007239,2023-01-02,REG-005
ORD-00000093,CUS-000948,2023-01-02,REG-006
ORD-00000094,CUS-002061,2023-01-02,REG-006
ORD-00000095,CUS-007078,2023-01-02,REG-006
ORD-00000096,CUS-007843,2023-01-02,REG-006
ORD-00000097,CUS-001320,2023-01-02,REG-006
